accession_id,antibiotic_name,mic_reported,susceptibility_call,testing_standard,testing_standard_year,mic_reported_source_ids,source_ids,susceptibility_call_source_ids,testing_standard_source_ids
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",amikacin,<= 2,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",ampicillin-sulbactam,== 16,intermediate,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",cefepime,<= 0.12,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",ceftazidime,<= 0.12,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",ceftriaxone,<= 0.25,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",ciprofloxacin,<= 0.25,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",ertapenem,<= 0.12,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",gentamicin,<= 1,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",imipenem,== 2,intermediate,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",piperacillin-tazobactam,<= 4,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN39551862](https://www.ncbi.nlm.nih.gov/biosample/SAMN39551862 ""Link to BioSample"")",trimethoprim-sulfamethoxazole,<= 1,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN05178545](https://www.ncbi.nlm.nih.gov/biosample/SAMN05178545 ""Link to BioSample"")",erythromycin,\> 256,resistant,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN05178545](https://www.ncbi.nlm.nih.gov/biosample/SAMN05178545 ""Link to BioSample"")",gentamicin,,resistant,CLSI,,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN05178545](https://www.ncbi.nlm.nih.gov/biosample/SAMN05178545 ""Link to BioSample"")",penicillin,== 4,resistant,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN05178545](https://www.ncbi.nlm.nih.gov/biosample/SAMN05178545 ""Link to BioSample"")",vancomycin,== 0.5,susceptible,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
"[SAMN05178546](https://www.ncbi.nlm.nih.gov/biosample/SAMN05178546 ""Link to BioSample"")",erythromycin,== 256,resistant,CLSI,,"[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]","[""fd9a5e29-ebcf-4248-b4bd-cb2b06b1d383""]"
